company_name,location,pref,receptionist,type_of_work,employment_status,phone_number,mail_address,job_advance_url
社会福祉法人ドルフィン福祉会ドルフィン・キッズ保育園,岡山県倉敷市八王寺町１８８番１,岡山県,山本,保育士,正社員,086-476-2235,m-yamamoto@dolphinwelfare.jp,https://jobadvance.jp/2020/12/03/%e7%a4%be%e4%bc%9a%e7%a6%8f%e7%a5%89%e6%b3%95%e4%ba%ba%e3%83%89%e3%83%ab%e3%83%95%e3%82%a3%e3%83%b3%e7%a6%8f%e7%a5%89%e4%bc%9a%e3%80%80%e3%83%89%e3%83%ab%e3%83%95%e3%82%a3%e3%83%b3%e3%83%bb%e3%82%ad/
社会福祉法人明康会さくらこども園,茨城県筑西市海老ヶ島２０１９,茨城県,酒井,保育士,正社員,0296-45-7851,h.sakai@deluxe.ocn.ne.jp,https://jobadvance.jp/2020/12/02/%e7%a4%be%e4%bc%9a%e7%a6%8f%e7%a5%89%e6%b3%95%e4%ba%ba%e6%98%8e%e5%ba%b7%e4%bc%9a%e3%80%80%e3%81%95%e3%81%8f%e3%82%89%e3%81%93%e3%81%a9%e3%82%82%e5%9c%92%e3%80%80%e4%bf%9d%e8%82%b2%e5%a3%ab%e3%80%80/
株式会社荒畑園,静岡県牧之原市布引原２５７,静岡県,荒畑,製造作業,正社員,0548-27-2517,c-arahata@arahataen.com,https://jobadvance.jp/2020/12/02/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e8%8d%92%e7%95%91%e5%9c%92%e3%80%80%e8%a3%bd%e9%80%a0%e4%bd%9c%e6%a5%ad%e3%80%80%e6%ad%a3%e7%a4%be%e5%93%a1%e3%81%ae%e5%8b%9f%e9%9b%86%ef%bc%81%ef%bc%81/
有限会社IFC,埼玉県さいたま市見沼区大字丸ヶ崎２８８４－５,埼玉県,福田,内装工,正社員,048-689-3596,minumafrowa1715@i.softbank.jp,https://jobadvance.jp/2020/12/02/%e6%9c%89%e9%99%90%e4%bc%9a%e7%a4%beifc%e3%80%80%e5%86%85%e8%a3%85%e5%b7%a5%e3%80%80%e6%ad%a3%e7%a4%be%e5%93%a1%e3%81%ae%e5%8b%9f%e9%9b%86%ef%bc%81%ef%bc%81/
有限会社そら,福島県いわき市平下神谷字出口17-1,福島県,上面,事務職,正社員,0246-34-8661,so-ra@alpha.ocn.ne.jp,https://jobadvance.jp/2020/12/02/%e6%9c%89%e9%99%90%e4%bc%9a%e7%a4%be%e3%81%9d%e3%82%89%e3%80%80%e4%ba%8b%e5%8b%99%e8%81%b7%e3%80%8a%e6%9c%89%e9%99%90%e4%bc%9a%e7%a4%be%e3%81%9d%e3%82%89%e3%80%8b%e3%80%80%e6%ad%a3%e7%a4%be%e5%93%a1/
株式会社荒畑園,静岡県牧之原市布引原２５７,静岡県,荒畑,一般事務,正社員,0548-27-2517,c-arahata@arahataen.com,https://jobadvance.jp/2020/12/02/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e8%8d%92%e7%95%91%e5%9c%92%e3%80%80%e4%b8%80%e8%88%ac%e4%ba%8b%e5%8b%99%e3%80%80%e6%ad%a3%e7%a4%be%e5%93%a1%e3%81%ae%e5%8b%9f%e9%9b%86%ef%bc%81%ef%bc%81/
株式会社サトウ建装,愛知県春日井市玉野町784-9,愛知県,佐藤,塗装補助・営業,正社員,0568-52-3825,sk2033@wine.ocn.ne.jp,https://jobadvance.jp/2020/12/02/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%b5%e3%83%88%e3%82%a6%e5%bb%ba%e8%a3%85%e3%80%80%e5%a1%97%e8%a3%85%e8%a3%9c%e5%8a%a9%e3%83%bb%e5%96%b6%e6%a5%ad%e3%80%80%e6%ad%a3%e7%a4%be%e5%93%a1%e3%81%ae/
有限会社そら,福島県いわき市平下神谷字出口17-1,福島県,上面,管理者《グループホーム大地の家》,正社員,0246-34-8661,so-ra@alpha.ocn.ne.jp,https://jobadvance.jp/2020/12/02/%e6%9c%89%e9%99%90%e4%bc%9a%e7%a4%be%e3%81%9d%e3%82%89%e3%80%80%e7%ae%a1%e7%90%86%e8%80%85%e3%80%8a%e3%82%b0%e3%83%ab%e3%83%bc%e3%83%97%e3%83%9b%e3%83%bc%e3%83%a0-%e5%a4%a7%e5%9c%b0%e3%81%ae%e5%ae%b6/
社会福祉法人明康会さくらこども園,茨城県筑西市海老ヶ島２０１９,茨城県,酒井,保育士,パート,0296-45-7851,h.sakai@deluxe.ocn.ne.jp,https://jobadvance.jp/2020/12/02/%e7%a4%be%e4%bc%9a%e7%a6%8f%e7%a5%89%e6%b3%95%e4%ba%ba%e6%98%8e%e5%ba%b7%e4%bc%9a%e3%80%80%e3%81%95%e3%81%8f%e3%82%89%e3%81%93%e3%81%a9%e3%82%82%e5%9c%92%e3%80%80%e4%bf%9d%e8%82%b2%e5%a3%ab%e3%80%80-2/
有限会社そら,福島県いわき市平下神谷字出口17-1,福島県,上面,管理者の補佐《デイサービスそら》,正社員,0246-34-8661,so-ra@alpha.ocn.ne.jp,https://jobadvance.jp/2020/12/02/%e6%9c%89%e9%99%90%e4%bc%9a%e7%a4%be%e3%81%9d%e3%82%89%e3%80%80%e7%ae%a1%e7%90%86%e8%80%85%e3%81%ae%e8%a3%9c%e4%bd%90%e3%80%8a%e3%83%87%e3%82%a4%e3%82%b5%e3%83%bc%e3%83%93%e3%82%b9%e3%81%9d%e3%82%89/
